trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,11,-7.048023423869836,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-109.7397414962158,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,15,14.276059691217192,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,0,-37.982227501524676,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,1.2736111937011287,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,0,-65.10538121282194,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,8,0.3756353034965847,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,17,3.1010076130393145,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,6,-145.78182221016766,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 4}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,7,22.635063837879233,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,11.033713973171114,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-94.64088382984147,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,2,-53.29558648164589,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,17,7.059936157480818,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,5,19.824388890471827,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,0,-93.48890310818935,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,0,-2.297791599010188,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
